0.000000000000000000e+00 4.472135954999579277e-01
8.517645089584206630e+00 1.549193338482966809e+00
1.623720889996237204e+00 2.144761058952721733e+00
1.286924818108026614e+01 2.607680962081059484e+00
1.817616982401723646e+01 3.000000000000000000e+00
1.233339209402911152e+01 3.346640106136302251e+00
2.177622054412167074e+01 3.305107438709036671e+00
2.457602173690377612e+01 3.012316347995543708e+00
2.448679983957896056e+01 2.672650740565235772e+00
3.344102121252131354e+01 2.293005338317756436e+00
